Arabic,EnglishOri,ArLength,EnLength,English
فوق,up,3,2,Up
استخدام,use,7,3,Use
ك,your,1,4,Your
طريق,way,4,3,Way
حول,about,3,5,About
كثير,many,4,4,Many
ثم,then,2,4,Then
هم,them,2,4,Them
إرسال,write,5,5,Write
أراد,would,4,5,Would
مثل,like,3,4,Like
هكذا,so,4,2,So
هؤلاء,these,5,5,These
لها,her,3,3,Her
طويل,long,4,4,Long
جعل,make,3,4,Make
شيء,thing,3,5,Thing
شاهد,see,4,3,See
له,him,2,3,Him
اثنين,two,5,3,Two
لديه,has,4,3,Has
بحث,look,3,4,Look
أكثر,more,4,4,More
يوم,day,3,3,Day
يمكن,could,4,5,Could
تذهب,go,4,2,Go
جاء,come,3,4,Come
لم,did,2,3,Did
عدد,number,3,6,Number
صوت,sound,3,5,Sound
لا,no,2,2,No
أكثر,most,4,4,Most
الناس,people,5,6,People
لي,my,2,2,My
على,over,3,4,Over
تعرف,know,4,4,Know
ماء,water,3,5,Water
من,than,2,4,Than
دعوة,call,4,4,Call
الأول,first,5,5,First
الذي,who,4,3,Who
قد,may,2,3,May
إلى,down,3,4,Down
الجانب,side,6,4,Side
كان,been,3,4,Been
الآن,now,4,3,Now
اكتشاف,find,6,4,Find
رئيس,head,4,4,Head
الوقوف,stand,6,5,Stand
الخاصة,own,6,3,Own
الصفحة,page,6,4,Page
ينبغي,should,5,6,Should
بلد,country,3,7,Country
أسس,found,3,5,Found
الجواب,answer,6,6,Answer
المدرسة,school,7,6,School
تنمو,grow,4,4,Grow
دراسة,study,5,5,Study
لا يزال,still,7,5,Still
تعلم,learn,4,5,Learn
مصنع,plant,4,5,Plant
غطاء,cover,4,5,Cover
غذاء,food,4,4,Food
شمس,sun,3,3,Sun
أربعة,four,5,4,Four
بين,between,3,7,Between
دولة,state,4,5,State
احتفظ,keep,5,4,Keep
العين,eye,5,3,Eye
أبدا,never,4,5,Never
آخر,last,3,4,Last
سمح,let,3,3,Let
يعتقد,thought,5,7,Thought
المدينة,city,7,4,City
شجرة,tree,4,4,Tree
عبور,cross,4,5,Cross
مزرعة,farm,5,4,Farm
شاق,hard,3,4,Hard
بداية,start,5,5,Start
قد,might,2,5,Might
قصة,story,3,5,Story
منشار,saw,5,3,Saw
الآن,far,4,3,Far
بحر,sea,3,3,Sea
رسم,draw,3,4,Draw
غادر,left,4,4,Left
متأخر,late,5,4,Late
تشغيل,run,5,3,Run
لا,don’t,2,5,Don’T
في حين,while,6,5,While
الصحافة,press,7,5,Press
قريب,close,4,5,Close
الليل,night,5,5,Night
حقيقية,real,6,4,Real
حياة,life,4,4,Life
قليل,few,4,3,Few
شمال,north,4,5,North
كتاب,book,4,4,Book
حمل,carry,3,5,Carry
استغرق,took,6,4,Took
علم,science,3,7,Science
أكل,eat,3,3,Eat
غرفة,room,4,4,Room
صديق,friend,4,6,Friend
بدأ,began,3,5,Began
فكرة,idea,4,4,Idea
سمك,fish,3,4,Fish
الجبل,mountain,5,8,Mountain
توقف,stop,4,4,Stop
مرة واحدة,once,9,4,Once
قاعدة,base,5,4,Base
سمع,hear,3,4,Hear
الحصان,horse,6,5,Horse
قطع,cut,3,3,Cut
بالتأكيد,sure,8,4,Sure
راقب,watch,4,5,Watch
لون,color,3,5,Color
وجه,face,3,4,Face
الخشب,wood,5,4,Wood
رئيسي,main,5,4,Main
مفتوحة,open,6,4,Open
يبدو,seem,4,4,Seem
معا,together,3,8,Together
المقبل,next,6,4,Next
أبيض,white,4,5,White
الأطفال,children,7,8,Children
بدأ,begin,3,5,Begin
حصلت,got,4,3,Got
سير,walk,3,4,Walk
مثال,example,4,7,Example
سهولة,ease,5,4,Ease
ورق,paper,3,5,Paper
مجموعة,group,6,5,Group
دائما,always,5,6,Always
الموسيقى,music,8,5,Music
تلك,those,3,5,Those
كلا,both,3,4,Both
علامة,mark,5,4,Mark
غالبا,often,5,5,Often
الرسالة,letter,7,6,Letter
حتى,until,3,5,Until
ميل,mile,3,4,Mile
النهر,river,5,5,River
سيارة,car,5,3,Car
قدم,feet,3,4,Feet
الرعاية,care,7,4,Care
ثان,second,3,6,Second
بما فيه الكفاية,enough,15,6,Enough
سهل,plain,3,5,Plain
فتاة,girl,4,4,Girl
معتاد,usual,5,5,Usual
الشباب,young,6,5,Young
جاهزة,ready,5,5,Ready
فوق,above,3,5,Above
أبدا,ever,4,4,Ever
أحمر,red,4,3,Red
قائمة,list,5,4,List
على الرغم من,though,12,6,Though
إحساس,feel,5,4,Feel
الحديث,talk,6,4,Talk
طائر,bird,4,4,Bird
قريبا,soon,5,4,Soon
هيئة,body,4,4,Body
الكلب,dog,5,3,Dog
عائلة,family,5,6,Family
مباشر,direct,5,6,Direct
أربك,pose,4,4,Pose
ترك,leave,3,5,Leave
أغنية,song,5,4,Song
قياس,measure,4,7,Measure
باب,door,3,4,Door
نتاج,product,4,7,Product
أسود,black,4,5,Black
قصير,short,4,5,Short
الأرقام,numeral,7,7,Numeral
الفئة,class,5,5,Class
الرياح,wind,6,4,Wind
السؤال,question,6,8,Question
يحدث,happen,4,6,Happen
كاملة,complete,5,8,Complete
سفينة,ship,5,4,Ship
منطقة,area,5,4,Area
نصف,half,3,4,Half
صخرة,rock,4,4,Rock
النظام,order,6,5,Order
النار,fire,5,4,Fire
الجنوب,south,6,5,South
مشكلة,problem,5,7,Problem
قطعة,piece,4,5,Piece
قال,told,3,4,Told
عرف,knew,3,4,Knew
تمر,pass,3,4,Pass
منذ,since,3,5,Since
أعلى,top,4,3,Top
ككل,whole,3,5,Whole
ملك,king,3,4,King
شارع,street,4,6,Street
بوصة,inch,4,4,Inch
مضاعفة,multiply,6,8,Multiply
لا شيء,nothing,6,7,Nothing
بالطبع,course,6,6,Course
إقامة,stay,5,4,Stay
عجلة,wheel,4,5,Wheel
كامل,full,4,4,Full
قوة,force,3,5,Force
الأزرق,blue,6,4,Blue
موضوع,object,5,6,Object
تقرر,decide,4,6,Decide
سطح,surface,3,7,Surface
عميق,deep,4,4,Deep
ضوء القمر,moon,9,4,Moon
الجزيرة,island,7,6,Island
القدم,foot,5,4,Foot
نظام,system,4,6,System
مشغول,busy,5,4,Busy
اختبار,test,6,4,Test
سجل,record,3,6,Record
قارب,boat,4,4,Boat
مشترك,common,5,6,Common
الذهب,gold,5,4,Gold
ممكن,possible,4,8,Possible
طائرة,plane,5,5,Plane
بدلا,stead,4,5,Stead
جاف,dry,3,3,Dry
عجب,wonder,3,6,Wonder
الضحك,laugh,5,5,Laugh
ألف,thousand,3,8,Thousand
منذ,ago,3,3,Ago
ركض,ran,3,3,Ran
تحقق,check,4,5,Check
لعبة,game,4,4,Game
شكل,shape,3,5,Shape
مساواة,equate,6,6,Equate
حار,hot,3,3,Hot
ملكة جمال,miss,9,4,Miss
جلبت,brought,4,7,Brought
حرارة,heat,5,4,Heat
ثلج,snow,3,4,Snow
إطار العجلة,tire,11,4,Tire
جلب,bring,3,5,Bring
نعم,yes,3,3,Yes
بعيد,distant,4,7,Distant
شغل,fill,3,4,Fill
الشرق,east,5,4,East
الطلاء,paint,6,5,Paint
اللغة,language,5,8,Language
بين,among,3,5,Among
وحدة,unit,4,4,Unit
قوة,power,3,5,Power
مدينة,town,5,4,Town
غرامة,fine,5,4,Fine
معين,certain,4,7,Certain
يطير,fly,4,3,Fly
سقط,fall,3,4,Fall
قيادة,lead,5,4,Lead
صرخة,cry,4,3,Cry
مظلم,dark,4,4,Dark
آلة,machine,3,7,Machine
مذكرة,note,5,4,Note
انتظر,wait,5,4,Wait
خطة,plan,3,4,Plan
الرقم,figure,5,6,Figure
نجمة,star,4,4,Star
صندوق,box,5,3,Box
إسم,noun,3,4,Noun
الحقل,field,5,5,Field
بقية,rest,4,4,Rest
صحيح,correct,4,7,Correct
قادرة,able,5,4,Able
الجنيه,pound,6,5,Pound
منجز,done,4,4,Done
الجمال,beauty,6,6,Beauty
محرك,drive,4,5,Drive
وقفت,stood,4,5,Stood
تحتوي على,contain,9,7,Contain
الجبهة,front,6,5,Front
تعليم,teach,5,5,Teach
أسبوع,week,5,4,Week
نهائي,final,5,5,Final
أعطى,gave,4,4,Gave
الأخضر,green,6,5,Green
يا,oh,2,2,Oh
سريع,quick,4,5,Quick
تطوير,develop,5,7,Develop
المحيط,ocean,6,5,Ocean
الحارة,warm,6,4,Warm
حر,free,2,4,Free
دقيقة,minute,5,6,Minute
قوي,strong,3,6,Strong
خاص,special,3,7,Special
عقل,mind,3,4,Mind
خلف,behind,3,6,Behind
واضح,clear,4,5,Clear
ذيل,tail,3,4,Tail
إنتاج,produce,5,7,Produce
حقيقة,fact,5,4,Fact
الفضاء,space,6,5,Space
سمعت,heard,4,5,Heard
أفضل,best,4,4,Best
ساعة,hour,4,4,Hour
أفضل,better,4,6,Better
صحيح,TRUE,4,4,TRUE
خلال,during,4,6,During
مائة,hundred,4,7,Hundred
خمسة,five,4,4,Five
تذكر,remember,4,8,Remember
خطوة,step,4,4,Step
في وقت مبكر,early,11,5,Early
عقد,hold,3,4,Hold
غرب,west,3,4,West
أرض,ground,3,6,Ground
مصلحة,interest,5,8,Interest
الوصول,reach,6,5,Reach
بسرعة,fast,5,4,Fast
الفعل,verb,5,4,Verb
الغناء,sing,6,4,Sing
استمع,listen,5,6,Listen
ستة,six,3,3,Six
الجدول,table,6,5,Table
السفر,travel,5,6,Travel
أقل,less,3,4,Less
الصباح,morning,6,7,Morning
عشرة,ten,4,3,Ten
بسيطة,simple,5,6,Simple
عدة,several,3,7,Several
حرف لين,vowel,7,5,Vowel
نحو,toward,3,6,Toward
حرب,war,3,3,War
وضع,lay,3,3,Lay
ضد,against,2,7,Against
نمط,pattern,3,7,Pattern
بطيئة,slow,5,4,Slow
مركز,center,4,6,Center
الحب,love,4,4,Love
شخص,person,3,6,Person
المال,money,5,5,Money
خدمة,serve,4,5,Serve
تظهر,appear,4,6,Appear
طريق,road,4,4,Road
خريطة,map,5,3,Map
مطر,rain,3,4,Rain
حكم,rule,3,4,Rule
الحكم,govern,5,6,Govern
سحب,pull,3,4,Pull
بارد,cold,4,4,Cold
إشعار,notice,5,6,Notice
صوت,voice,3,5,Voice
الطاقة,energy,6,6,Energy
مطاردة,hunt,6,4,Hunt
محتمل,probable,5,8,Probable
قاع,bed,3,3,Bed
شقيق,brother,4,7,Brother
البيض,egg,5,3,Egg
ركوب,ride,4,4,Ride
خلية,cell,4,4,Cell
اعتقد,believe,5,7,Believe
ربما,perhaps,4,7,Perhaps
اختيار,pick,6,4,Pick
مفاجئ,sudden,5,6,Sudden
عد,count,2,5,Count
مربع,square,4,6,Square
سبب,reason,3,6,Reason
طول,length,3,6,Length
تمثيل,represent,5,9,Represent
فن,art,2,3,Art
الموضوع,subject,7,7,Subject
منطقة,region,5,6,Region
حجم,size,3,4,Size
تختلف,vary,5,4,Vary
حل,settle,2,6,Settle
الكلام,speak,6,5,Speak
الوزن,weight,5,6,Weight
عام,general,3,7,General
الجليد,ice,6,3,Ice
مسألة,matter,5,6,Matter
دائرة,circle,5,6,Circle
زوج,pair,3,4,Pair
تضمن,include,4,7,Include
الفجوة,divide,6,6,Divide
مقطع لفظي,syllable,9,8,Syllable
شعر,felt,3,4,Felt
الكبرى,grand,6,5,Grand
كرة,ball,3,4,Ball
بعد,yet,3,3,Yet
موجة,wave,4,4,Wave
إسقاط,drop,5,4,Drop
قلب,heart,3,5,Heart
صباحا,am,5,2,Am
الحاضر,present,6,7,Present
ثقيلة,heavy,5,5,Heavy
رقص,dance,3,5,Dance
محرك,engine,4,6,Engine
موقف,position,4,8,Position
الذراع,arm,6,3,Arm
واسع,wide,4,4,Wide
الشراع,sail,6,4,Sail
مادة,material,4,8,Material
جزء,fraction,3,8,Fraction
الغابات,forest,7,6,Forest
الجلوس,sit,6,3,Sit
سباق,race,4,4,Race
نافذة,window,5,6,Window
متجر,store,4,5,Store
الصيف,summer,5,6,Summer
قطار,train,4,5,Train
نوم,sleep,3,5,Sleep
إثبات,prove,5,5,Prove
وحيد,lone,4,4,Lone
الساق,leg,5,3,Leg
ممارسة,exercise,6,8,Exercise
جدار,wall,4,4,Wall
مزلاج,catch,5,5,Catch
جبل,mount,3,5,Mount
رغب,wish,3,4,Wish
سماء,sky,4,3,Sky
مجلس الإدارة,board,12,5,Board
الفرح,joy,5,3,Joy
شتاء,winter,4,6,Winter
السبت,sat,5,3,Sat
مكتوبة,written,6,7,Written
بري,wild,3,4,Wild
أداة,instrument,4,10,Instrument
أبقى,kept,4,4,Kept
زجاج,glass,4,5,Glass
العشب,grass,5,5,Grass
بقرة,cow,4,3,Cow
العمل,job,5,3,Job
حافة,edge,4,4,Edge
علامة,sign,5,4,Sign
زيارة,visit,5,5,Visit
الماضي,past,6,4,Past
لينة,soft,4,4,Soft
مرح,fun,3,3,Fun
مشرق,bright,4,6,Bright
الغاز,gas,5,3,Gas
الطقس,weather,5,7,Weather
شهر,month,3,5,Month
مليون,million,5,7,Million
تحمل,bear,4,4,Bear
نهاية,finish,5,6,Finish
سعيدة,happy,5,5,Happy
نأمل,hope,4,4,Hope
زهرة,flower,4,6,Flower
كسا,clothe,3,6,Clothe
غريب,strange,4,7,Strange
ذهب,gone,3,4,Gone
تجارة,trade,5,5,Trade
لحن,melody,3,6,Melody
رحلة,trip,4,4,Trip
مكتب,office,4,6,Office
تلقي,receive,4,7,Receive
الصف,row,4,3,Row
فم,mouth,2,5,Mouth
بالضبط,exact,6,5,Exact
رمز,symbol,3,6,Symbol
مات,die,3,3,Die
الأقل,least,5,5,Least
مشكلة,trouble,5,7,Trouble
صيحة,shout,4,5,Shout
إلا,except,3,6,Except
كتب,wrote,3,5,Wrote
بذرة,seed,4,4,Seed
نغمة,tone,4,4,Tone
انضمام,join,6,4,Join
اقترح,suggest,5,7,Suggest
نظيف,clean,4,5,Clean
استراحة,break,7,5,Break
سيدة,lady,4,4,Lady
ساحة,yard,4,4,Yard
الارتفاع,rise,8,4,Rise
سيئة,bad,4,3,Bad
ضربة,blow,4,4,Blow
زيت,oil,3,3,Oil
الدم,blood,4,5,Blood
لمس,touch,3,5,Touch
نما,grew,3,4,Grew
المائة,cent,6,4,Cent
مزيج,mix,4,3,Mix
فريق,team,4,4,Team
سلك,wire,3,4,Wire
التكلفة,cost,7,4,Cost
فقدت,lost,4,4,Lost
أسمر,brown,4,5,Brown
ارتداء,wear,6,4,Wear
حديقة,garden,5,6,Garden
متساو,equal,5,5,Equal
أرسلت,sent,5,4,Sent
اختيار,choose,6,6,Choose
سقط,fell,3,4,Fell
تناسب,fit,5,3,Fit
تدفق,flow,4,4,Flow
عادل,fair,4,4,Fair
البنك,bank,5,4,Bank
جمع,collect,3,7,Collect
حفظ,save,3,4,Save
السيطرة,control,7,7,Control
العشري,decimal,6,7,Decimal
إذن,ear,3,3,Ear
آخر,else,3,4,Else
تماما,quite,5,5,Quite
حطم,broke,3,5,Broke
حالة,case,4,4,Case
وسط,middle,3,6,Middle
قتل,kill,3,4,Kill
ابن,son,3,3,Son
بحيرة,lake,5,4,Lake
لحظة,moment,4,6,Moment
على نطاق و,scale,10,5,Scale
بصوت عال,loud,8,4,Loud
الربيع,spring,6,6,Spring
رصد,observe,3,7,Observe
طفل,child,3,5,Child
مباشرة,straight,6,8,Straight
متوافق,consonant,6,9,Consonant
الأمة,nation,5,6,Nation
قاموس,dictionary,5,10,Dictionary
حليب,milk,4,4,Milk
السرعة,speed,6,5,Speed
طريقة,method,5,6,Method
عضو,organ,3,5,Organ
دفع,pay,3,3,Pay
العمر,age,5,3,Age
القسم,section,5,7,Section
فستان,dress,5,5,Dress
سحابة,cloud,5,5,Cloud
مفاجأة,surprise,6,8,Surprise
هادئ,quiet,4,5,Quiet
حجر,stone,3,5,Stone
صغير,tiny,4,4,Tiny
تسلق,climb,4,5,Climb
بارد,cool,4,4,Cool
تصميم,design,5,6,Design
فقير,poor,4,4,Poor
الكثير,lot,6,3,Lot
تجربة,experiment,5,10,Experiment
أسفل,bottom,4,6,Bottom
مفتاح,key,5,3,Key
حديد,iron,4,4,Iron
احد,single,3,6,Single
عصا,stick,3,5,Stick
شقة,flat,3,4,Flat
عشرون,twenty,5,6,Twenty
الجلد,skin,5,4,Skin
الابتسامة,smile,9,5,Smile
تجعد,crease,4,6,Crease
حفرة,hole,4,4,Hole
القفزة,jump,6,4,Jump
طفل,baby,3,4,Baby
ثمانية,eight,6,5,Eight
قرية,village,4,7,Village
تلبية,meet,5,4,Meet
الجذر,root,5,4,Root
شراء,buy,4,3,Buy
رفع,raise,3,5,Raise
حل,solve,2,5,Solve
المعادن,metal,7,5,Metal
سواء,whether,4,7,Whether
دفع,push,3,4,Push
سبعة,seven,4,5,Seven
فقرة,paragraph,4,9,Paragraph
الثالث,third,6,5,Third
يجب,shall,3,5,Shall
عقدت,held,4,4,Held
الشعر,hair,5,4,Hair
وصف,describe,3,8,Describe
طبخ,cook,3,4,Cook
الطابق,floor,6,5,Floor
كل,either,2,6,Either
نتيجة,result,5,6,Result
حرق,burn,3,4,Burn
التل,hill,4,4,Hill
آمنة,safe,4,4,Safe
القط,cat,4,3,Cat
القرن,century,5,7,Century
النظر,consider,5,8,Consider
نوع,type,3,4,Type
القانون,law,7,3,Law
لقمة,bit,4,3,Bit
الساحل,coast,6,5,Coast
نسخة,copy,4,4,Copy
العبارة,phrase,7,6,Phrase
الصمت,silent,5,6,Silent
طويل,tall,4,4,Tall
رمل,sand,3,4,Sand
التربة,soil,6,4,Soil
لفة,roll,3,4,Roll
درجة الحرارة,temperature,12,11,Temperature
إصبع,finger,4,6,Finger
صناعة,industry,5,8,Industry
قيمة,value,4,5,Value
المعركة,fight,7,5,Fight
كذبة,lie,4,3,Lie
فوز,beat,3,4,Beat
أثار,excite,4,6,Excite
طبيعي,natural,5,7,Natural
رأي,view,3,4,View
المعنى,sense,6,5,Sense
العاصمة,capital,7,7,Capital
سوف لا,won’t,6,5,Won’T
كرسي,chair,4,5,Chair
خطر,danger,3,6,Danger
الفاكهة,fruit,7,5,Fruit
غني,rich,3,4,Rich
سميك,thick,4,5,Thick
جندي,soldier,4,7,Soldier
عملية,process,5,7,Process
العمل,operate,5,7,Operate
ممارسة,practice,6,8,Practice
منفصلة,separate,6,8,Separate
الصعب,difficult,5,9,Difficult
الطبيب,doctor,6,6,Doctor
الرجاء,please,6,6,Please
حماية,protect,5,7,Protect
ظهرا,noon,4,4,Noon
محصول,crop,5,4,Crop
الحديث,modern,6,6,Modern
عنصر,element,4,7,Element
ضرب,hit,3,3,Hit
طالب,student,4,7,Student
ركن,corner,3,6,Corner
حزب,party,3,5,Party
تزويد,supply,5,6,Supply
الذي,whose,4,5,Whose
حدد,locate,3,6,Locate
عصابة,ring,5,4,Ring
حرف,character,3,9,Character
الحشرة,insect,6,6,Insect
اشتعلت,caught,6,6,Caught
فترة,period,4,6,Period
تشير,indicate,4,8,Indicate
راديو,radio,5,5,Radio
وتحدث,spoke,5,5,Spoke
ذرة,atom,3,4,Atom
بشري,human,4,5,Human
التاريخ,history,7,7,History
تأثير,effect,5,6,Effect
كهربائي,electric,7,8,Electric
توقع,expect,4,6,Expect
العظام,bone,6,4,Bone
سكة حديدية,rail,10,4,Rail
تخيل,imagine,4,7,Imagine
توفير,provide,5,7,Provide
توافق,agree,5,5,Agree
وبالتالي,thus,8,4,Thus
لطيف,gentle,4,6,Gentle
امرأة,woman,5,5,Woman
نقيب,captain,4,7,Captain
تخمين,guess,5,5,Guess
الضرورة,necessary,7,9,Necessary
حاد,sharp,3,5,Sharp
جناح,wing,4,4,Wing
خلق,create,3,6,Create
الجيران,neighbor,7,8,Neighbor
غسل,wash,3,4,Wash
خفاش,bat,4,3,Bat
بالأحرى,rather,7,6,Rather
الحشد,crowd,5,5,Crowd
الذرة,corn,5,4,Corn
مقارنة,compare,6,7,Compare
قصيدة,poem,5,4,Poem
سلسلة,string,5,6,String
جرس,bell,3,4,Bell
تعتمد,depend,5,6,Depend
اللحوم,meat,6,4,Meat
فرك,rub,3,3,Rub
أنبوب,tube,5,4,Tube
الشهيرة,famous,7,6,Famous
الدولار,dollar,7,6,Dollar
تيار,stream,4,6,Stream
خوف,fear,3,4,Fear
مشهد,sight,4,5,Sight
رقيق,thin,4,4,Thin
مثلث,triangle,4,8,Triangle
كوكب,planet,4,6,Planet
عجل,hurry,3,5,Hurry
رئيس,chief,4,5,Chief
مستعمرة,colony,7,6,Colony
على مدار الساعة,clock,15,5,Clock
منجم,mine,4,4,Mine
ربطة عنق,tie,8,3,Tie
دخول,enter,4,5,Enter
الرئيسية,major,8,5,Major
جديدة,fresh,5,5,Fresh
البحث,search,5,6,Search
إرسال,send,5,4,Send
الأصفر,yellow,6,6,Yellow
بندقية,gun,6,3,Gun
السماح,allow,6,5,Allow
طباعة,print,5,5,Print
ميت,dead,3,4,Dead
بقعة,spot,4,4,Spot
صحراء,desert,5,6,Desert
دعوى,suit,4,4,Suit
التيار,current,6,7,Current
رفع,lift,3,4,Lift
ارتفع,rose,5,4,Rose
وصول,arrive,4,6,Arrive
سيد,master,3,6,Master
المسار,track,6,5,Track
الأم,parent,4,6,Parent
الشاطئ,shore,6,5,Shore
تقسيم,division,5,8,Division
ورقة,sheet,4,5,Sheet
مادة,substance,4,9,Substance
صالح,favor,4,5,Favor
اتصال,connect,5,7,Connect
آخر,post,3,4,Post
أنفق,spend,4,5,Spend
وتر,chord,3,5,Chord
دهن,fat,3,3,Fat
سعيد,glad,4,4,Glad
الأصلي,original,6,8,Original
حصة,share,3,5,Share
محطة,station,4,7,Station
أب,dad,2,3,Dad
الخبز,bread,5,5,Bread
تهمة,charge,4,6,Charge
السليم,proper,6,6,Proper
شريط,bar,4,3,Bar
العرض,offer,5,5,Offer
قطاع,segment,4,7,Segment
الرقيق,slave,6,5,Slave
بط,duck,2,4,Duck
لحظة,instant,4,7,Instant
سوق,market,3,6,Market
درجة,degree,4,6,Degree
أهل,populate,3,8,Populate
كتكوت,chick,5,5,Chick
عزيزتي,dear,6,4,Dear
العدو,enemy,5,5,Enemy
الرد,reply,4,5,Reply
شراب,drink,4,5,Drink
تحدث,occur,4,5,Occur
دعم,support,3,7,Support
خطاب,speech,4,6,Speech
الطبيعة,nature,7,6,Nature
مجموعة,range,6,5,Range
البخار,steam,6,5,Steam
الحركة,motion,6,6,Motion
مسار,path,4,4,Path
السائل,liquid,6,6,Liquid
تسجيل,log,5,3,Log
مقصود,meant,5,5,Meant
حاصل,quotient,4,8,Quotient
أسنان,teeth,5,5,Teeth
قذيفة,shell,5,5,Shell
الرقبة,neck,6,4,Neck
الأكسجين,oxygen,8,6,Oxygen
السكر,sugar,5,5,Sugar
الموت,death,5,5,Death
جميل,pretty,4,6,Pretty
مهارة,skill,5,5,Skill
النساء,women,6,5,Women
الموسم,season,6,6,Season
حل,solution,2,8,Solution
مغناطيس,magnet,7,6,Magnet
فضة,silver,3,6,Silver
شكرا,thank,4,5,Thank
فرع,branch,3,6,Branch
مباراة,match,6,5,Match
لاحقة,suffix,5,6,Suffix
خاصة,especially,4,10,Especially
تين,fig,3,3,Fig
خائف,afraid,4,6,Afraid
ضخم,huge,3,4,Huge
شقيقة,sister,5,6,Sister
الصلب,steel,5,5,Steel
بحث,discuss,3,7,Discuss
إلى الأمام,forward,10,7,Forward
مماثل,similar,5,7,Similar
توجيه,guide,5,5,Guide
التجربة,experience,7,10,Experience
النتيجة,score,7,5,Score
تفاحة,apple,5,5,Apple
اشترى,bought,5,6,Bought
أدى,led,3,3,Led
رمية,pitch,4,5,Pitch
معطف,coat,4,4,Coat
كتلة,mass,4,4,Mass
بطاقة,card,5,4,Card
فرقة,band,4,4,Band
حبل,rope,3,4,Rope
انزلاق,slip,6,4,Slip
الفوز,win,5,3,Win
